City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
258,Marsh Harbour,BS,73.96,clear sky,26.5412,-77.0636,Abaco Beach Resort
260,Abu Dhabi,AE,71.71,broken clouds,24.4667,54.3667,Ramee Garden Hotel Apartments
261,Bontang,ID,77.27,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
264,Necochea,AR,63.03,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
265,Manggar,ID,78.24,light rain,-2.8833,108.2667,Guest Hotel
267,Dingle,PH,74.71,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
272,Salalah,OM,77.09,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
273,Banda Aceh,ID,79.05,overcast clouds,5.5577,95.3222,Sulthan Hotel International
274,Morondava,MG,79.81,overcast clouds,-20.2833,44.2833,La Case Bambou
275,Tabora,TZ,64.54,overcast clouds,-5.0167,32.8,Barcelona Lodge
276,Plettenberg Bay,ZA,69.06,clear sky,-34.0527,23.3716,Thanda Vista B&B
277,Kruisfontein,ZA,66.88,scattered clouds,-34.0033,24.7314,Oyster Bay House Rental
278,Maumere,ID,79.14,scattered clouds,-8.6199,122.2111,Sylvia Hotel
279,Mahina,PF,82.17,few clouds,-17.5065,-149.489,Guest Beach Bungalow Tahiti
282,Ahipara,NZ,71.49,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
283,Panaba,MX,78.64,overcast clouds,21.2833,-88.2667,Hotel California
284,Bambous Virieux,MU,80.22,light intensity shower rain,-20.3428,57.7575,Casa Tia Villa
286,Maragogi,BR,82.85,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
291,Vila Velha,BR,84.15,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
292,Ukiah,US,65.03,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
293,Paragominas,BR,79.79,overcast clouds,-2.9667,-47.4833,INOVA
294,Beira,MZ,84.29,few clouds,-19.8436,34.8389,Beira Terrace Hotel
295,Buala,SB,80.74,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
296,Puerto Del Rosario,ES,69.48,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
300,Dawei,MM,71.56,scattered clouds,14.0833,98.2,Hotel Dawei
302,Pacifica,US,60.39,broken clouds,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
303,Ubauro,PK,62.49,clear sky,28.1652,69.7289,Abdul Hameed Shaikh House
305,Saldanha,ZA,82.45,clear sky,-33.0117,17.9442,Blue Bay Lodge
306,Kavieng,PG,81.19,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
307,Phan Thiet,VN,72.1,overcast clouds,10.9333,108.1,Hotel Saigon-PT
309,Tucuman,AR,84.2,scattered clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
