City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Weihai,CN,2022-01-27 03:39:33,37.5017,122.1136,32.38,51,54,17.22
68,Barrow,US,2022-01-27 03:39:29,71.2906,-156.7887,-11.18,70,0,17.27
69,Luang Prabang,LA,2022-01-27 03:39:33,19.8856,102.1347,66.16,77,0,2.3
70,Heihe,CN,2022-01-27 03:39:34,50.2441,127.4902,8.4,67,2,9.75
71,Lavrentiya,RU,2022-01-27 03:39:34,65.5833,-171.0,-18.13,85,29,4.05
72,Boyolangu,ID,2022-01-27 03:39:34,-8.1181,111.8935,84.79,69,95,4.12
73,Puerto Ayora,EC,2022-01-27 03:39:35,-0.7393,-90.3518,73.11,91,98,6.15
74,Atuona,PF,2022-01-27 03:39:35,-9.8,-139.0333,78.91,77,14,19.39
75,Geraldton,AU,2022-01-27 03:39:36,-28.7667,114.6,86.41,45,0,21.85
76,New Norfolk,AU,2022-01-27 03:38:47,-42.7826,147.0587,80.65,46,86,1.99
77,Jinka,ET,2022-01-27 03:39:36,5.65,36.65,61.84,39,74,2.35
78,Arak,IR,2022-01-27 03:39:37,34.0917,49.6892,35.28,90,57,2.01
79,Hamilton,US,2022-01-27 03:36:03,39.1834,-84.5333,18.36,68,0,0.0
80,Hithadhoo,MV,2022-01-27 03:39:26,-0.6,73.0833,81.93,74,91,21.3
81,Buraydah,SA,2022-01-27 03:39:02,26.326,43.975,50.45,35,0,14.38
82,Nikolskoye,RU,2022-01-27 03:39:37,59.7035,30.7861,25.88,93,100,9.98
83,Khatanga,RU,2022-01-27 03:39:38,71.9667,102.5,2.01,85,100,13.76
84,Bubaque,GW,2022-01-27 03:39:38,11.2833,-15.8333,78.37,62,81,6.8
85,Torbay,CA,2022-01-27 03:39:39,47.6666,-52.7314,28.76,96,100,14.97
86,Mount Gambier,AU,2022-01-27 03:37:38,-37.8333,140.7667,91.31,43,40,13.8
87,Sitka,US,2022-01-27 03:35:50,57.0531,-135.33,35.49,93,75,0.0
88,Nyimba,ZM,2022-01-27 03:39:39,-14.5566,30.8149,66.49,97,94,2.04
89,Bembereke,BJ,2022-01-27 03:39:40,10.2283,2.6634,65.53,21,0,6.4
90,Esperance,AU,2022-01-27 03:39:22,-33.8667,121.9,67.59,76,99,11.16
91,Itigi,TZ,2022-01-27 03:39:41,-5.7,34.4833,63.23,95,93,5.64
92,Methoni,GR,2022-01-27 03:39:41,36.8197,21.7049,40.21,45,4,4.29
93,Aklavik,CA,2022-01-27 03:39:42,68.2191,-135.0107,-3.28,97,100,3.85
94,Sibolga,ID,2022-01-27 03:35:57,1.7427,98.7792,84.76,60,72,3.87
95,Mar Del Plata,AR,2022-01-27 03:39:42,-38.0023,-57.5575,64.09,69,75,8.01
96,Praia Da Vitoria,PT,2022-01-27 03:39:43,38.7333,-27.0667,57.45,94,75,11.21
97,Faya,SA,2022-01-27 03:36:52,18.3851,42.4509,53.71,58,32,5.57
98,Portland,US,2022-01-27 03:39:14,45.5234,-122.6762,41.77,74,20,1.01
99,Saint-Philippe,RE,2022-01-27 03:39:43,-21.3585,55.7679,73.11,61,17,7.27
100,Port Alfred,ZA,2022-01-27 03:36:47,-33.5906,26.891,72.39,92,80,4.09
101,Tyukhtet,RU,2022-01-27 03:39:44,56.5389,89.3011,6.1,95,91,4.43
102,Yabelo,ET,2022-01-27 03:39:45,4.8833,38.0833,55.56,36,48,7.25
103,Mahebourg,MU,2022-01-27 03:39:45,-20.4081,57.7,80.26,88,40,4.61
104,Matadi,CD,2022-01-27 03:39:46,-5.8167,13.45,73.44,90,65,1.99
105,Jinxiang,CN,2022-01-27 03:39:46,27.4327,120.6062,57.81,86,78,12.82
106,Turbat,PK,2022-01-27 03:39:47,26.0023,63.044,60.91,19,0,7.05
107,Fortuna,US,2022-01-27 03:39:47,40.5982,-124.1573,45.93,94,100,1.01
108,Ruzhyn,UA,2022-01-27 03:39:48,49.7228,29.2046,22.5,97,97,6.35
109,Astana,KZ,2022-01-27 03:39:49,51.1801,71.446,-7.65,77,75,6.71
110,Talnakh,RU,2022-01-27 03:35:49,69.4865,88.3972,1.2,96,100,15.05
111,Antofagasta,CL,2022-01-27 03:39:50,-23.65,-70.4,63.68,82,17,3.09
112,Victoria,HK,2022-01-27 03:39:50,22.2855,114.1577,72.18,89,41,1.01
113,Dwarka,IN,2022-01-27 03:39:50,22.2394,68.9678,67.19,41,1,9.91
114,Gravdal,NO,2022-01-27 03:39:51,68.1214,13.5031,37.22,74,96,7.92
115,Guilin,CN,2022-01-27 03:39:51,25.2819,110.2864,44.71,85,100,8.95
116,Leningradskiy,RU,2022-01-27 03:35:52,69.3833,178.4167,-25.1,90,9,3.65
117,Dzaoudzi,YT,2022-01-27 03:39:52,-12.7887,45.2699,82.29,78,100,11.5
118,The Valley,AI,2022-01-27 03:39:53,18.217,-63.0578,76.86,73,65,17.43
119,Ribeira Grande,PT,2022-01-27 03:39:53,38.5167,-28.7,59.74,81,30,12.73
120,Alexandria,EG,2022-01-27 03:36:28,31.2156,29.9553,51.76,66,40,12.66
121,Tres Arroyos,AR,2022-01-27 03:38:13,-38.3739,-60.2798,54.16,71,1,5.35
122,Sharjah,AE,2022-01-27 03:39:54,25.3573,55.4033,67.24,72,0,5.75
123,Mount Isa,AU,2022-01-27 03:39:54,-20.7333,139.5,83.97,84,75,14.97
124,Bluff,NZ,2022-01-27 03:39:55,-46.6,168.3333,57.79,60,65,11.88
125,Tete,MZ,2022-01-27 03:39:55,-16.1564,33.5867,73.49,100,75,3.44
126,Pogar,RU,2022-01-27 03:39:55,52.554,33.2591,6.33,99,100,4.07
127,Bethel,US,2022-01-27 03:39:56,41.3712,-73.414,20.55,63,0,0.0
128,Goderich,CA,2022-01-27 03:39:56,43.7501,-81.7165,10.72,72,96,11.5
129,Acarau,BR,2022-01-27 03:39:57,-2.8856,-40.12,77.02,86,100,10.25
130,Souillac,MU,2022-01-27 03:34:58,-20.5167,57.5167,80.37,88,40,4.61
131,Farmington,US,2022-01-27 03:39:57,36.7281,-108.2187,34.48,53,0,3.44
132,Cabo San Lucas,MX,2022-01-27 03:37:01,22.8909,-109.9124,71.15,66,0,3.44
133,Ponta Do Sol,PT,2022-01-27 03:39:58,32.6667,-17.1,59.0,78,56,6.33
134,Kushmurun,KZ,2022-01-27 03:39:58,52.4503,64.6311,8.83,93,100,10.4
135,Lethem,GY,2022-01-27 03:39:59,3.3803,-59.7968,79.68,64,84,10.94
136,Cayenne,GF,2022-01-27 03:39:59,4.9333,-52.3333,73.44,100,75,4.61
137,Muskegon,US,2022-01-27 03:40:00,43.3,-86.1334,22.89,71,100,20.71
138,Nebbi,UG,2022-01-27 03:40:01,2.4783,31.0889,70.39,40,95,5.19
139,Wasilla,US,2022-01-27 03:40:01,61.5814,-149.4394,24.4,88,100,4.61
140,Kaitangata,NZ,2022-01-27 03:40:02,-46.2817,169.8464,59.94,53,59,13.4
141,Upernavik,GL,2022-01-27 03:40:02,72.7868,-56.1549,2.19,86,100,0.76
142,Bagdarin,RU,2022-01-27 03:40:03,54.4333,113.6,-0.2,79,23,1.36
143,Birakan,RU,2022-01-27 03:40:03,49.0167,131.7,7.59,71,29,7.29
144,Qaanaaq,GL,2022-01-27 03:40:04,77.484,-69.3632,-8.34,59,73,9.33
145,Lebu,CL,2022-01-27 03:40:04,-37.6167,-73.65,57.49,92,3,9.37
146,Meridian,US,2022-01-27 03:40:04,43.6121,-116.3915,30.52,86,100,5.75
147,Komatipoort,ZA,2022-01-27 03:40:05,-25.4332,31.9548,72.37,96,94,2.68
148,East London,ZA,2022-01-27 03:35:19,-33.0153,27.9116,74.34,100,40,1.14
149,Takoradi,GH,2022-01-27 03:36:27,4.8845,-1.7554,77.41,88,1,4.23
150,Svetlyy,RU,2022-01-27 03:40:06,54.675,20.1347,41.05,93,100,18.54
151,Noumea,NC,2022-01-27 03:40:06,-22.2763,166.4572,85.98,99,88,16.55
152,Villarrica,PY,2022-01-27 03:40:07,-25.75,-56.4333,78.67,76,79,2.24
153,Turukhansk,RU,2022-01-27 03:40:07,65.8167,87.9833,-6.2,93,100,15.3
154,Butaritari,KI,2022-01-27 03:40:07,3.0707,172.7902,82.15,77,16,13.31
155,Alofi,NU,2022-01-27 03:40:08,-19.0595,-169.9187,84.09,74,21,9.22
156,Bredasdorp,ZA,2022-01-27 03:40:08,-34.5322,20.0403,63.28,92,25,3.51
157,Clinton,US,2022-01-27 03:40:09,42.587,-82.9199,12.22,72,0,1.01
158,Mnogovershinnyy,RU,2022-01-27 03:40:09,53.9353,139.9242,-1.01,75,27,3.74
159,Sept-Iles,CA,2022-01-27 03:38:44,50.2001,-66.3821,-12.57,62,0,3.44
160,Hofn,IS,2022-01-27 03:40:10,64.2539,-15.2082,30.94,52,100,6.33
