City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Kadoma,JP,34.7333,135.5833,37.38,62,8,12.82,clear sky
80,Hamilton,US,39.1834,-84.5333,25.95,72,40,1.99,snow
81,La Ronge,CA,55.1001,-105.2842,-9.15,64,75,8.05,broken clouds
82,Dikson,RU,73.5069,80.5464,-18.2,100,99,3.47,overcast clouds
83,Lansing,US,42.7325,-84.5555,24.6,74,0,6.91,clear sky
84,Hithadhoo,MV,-0.6,73.0833,82.24,73,100,12.95,overcast clouds
85,Upernavik,GL,72.7868,-56.1549,-0.85,98,100,4.74,overcast clouds
86,Kiunga,PG,-6.1219,141.2906,72.28,100,100,2.66,overcast clouds
87,Balkanabat,TM,39.5108,54.3671,41.88,83,87,13.89,overcast clouds
88,Karratha,AU,-20.7377,116.8463,84.33,71,100,6.78,overcast clouds
89,Jewar,IN,28.1333,77.55,52.27,82,2,4.56,clear sky
90,Georgetown,MY,5.4112,100.3354,80.89,85,20,1.99,few clouds
91,Leh,IN,34.1667,77.5833,-7.56,73,86,3.18,overcast clouds
92,Tuatapere,NZ,-46.1333,167.6833,50.83,84,100,2.46,overcast clouds
93,Aklavik,CA,68.2191,-135.0107,-31.97,66,40,4.61,scattered clouds
94,Teluknaga,ID,-6.0989,106.6381,78.19,94,20,5.99,few clouds
95,Beringovskiy,RU,63.05,179.3167,-9.99,92,18,14.5,few clouds
96,Heihe,CN,50.2441,127.4902,0.18,92,23,6.15,few clouds
97,Acapulco,MX,16.8634,-99.8901,82.22,69,0,8.05,clear sky
98,Cayenne,GF,4.9333,-52.3333,84.24,81,75,5.99,broken clouds
99,Severo-Kurilsk,RU,50.6789,156.125,28.36,94,100,5.46,light snow
100,Cape Town,ZA,-33.9258,18.4232,76.87,66,0,1.99,clear sky
101,Juxtlahuaca,MX,17.4294,-99.1467,85.42,31,22,2.04,few clouds
102,Karakol,KG,42.4907,78.3936,8.2,58,9,9.33,clear sky
103,Kushima,JP,31.4583,131.2333,38.12,74,10,8.12,clear sky
104,Balabac,PH,7.9868,117.0645,80.15,83,68,22.41,broken clouds
105,Arraial Do Cabo,BR,-22.9661,-42.0278,87.76,70,0,20.71,thunderstorm
106,Jimeta,NG,9.2833,12.4667,78.19,12,2,5.26,clear sky
107,Marzuq,YE,14.4,46.4667,67.75,40,20,4.56,few clouds
108,Cabo San Lucas,MX,22.8909,-109.9124,73.51,58,0,8.05,clear sky
109,Megion,RU,61.0296,76.1136,15.82,95,100,6.2,light snow
110,Biloela,AU,-24.4167,150.5,65.73,70,0,15.73,clear sky
111,Anadyr,RU,64.75,177.4833,-5.3,77,0,20.13,clear sky
112,Kloulklubed,PW,7.0419,134.2556,81.1,80,96,23.09,overcast clouds
113,Honghu,CN,29.8206,113.4621,41.92,75,100,9.48,overcast clouds
114,Tasiilaq,GL,65.6145,-37.6368,24.96,58,100,9.73,overcast clouds
115,Coihaique,CL,-45.5752,-72.0662,70.41,46,75,8.05,broken clouds
116,Sao Felix Do Xingu,BR,-6.6447,-51.995,86.58,63,100,2.21,overcast clouds
117,New Norfolk,AU,-42.7826,147.0587,56.71,64,100,1.25,overcast clouds
118,Cuncolim,IN,15.1667,73.9833,75.09,82,39,5.03,scattered clouds
119,Jonacatepec,MX,18.6833,-98.8,75.38,32,0,5.01,clear sky
120,Mikropolis,GR,41.1935,23.8157,43.93,76,95,3.56,overcast clouds
121,Slave Lake,CA,55.2834,-114.769,12.18,85,100,9.22,overcast clouds
122,Hirara,JP,24.8,125.2833,62.19,68,100,18.81,overcast clouds
123,Tura,IN,25.5198,90.2201,49.86,91,1,1.72,clear sky
124,Altay,CN,47.8667,88.1167,7.02,51,0,9.89,clear sky
125,Saint George,US,37.1041,-113.5841,52.36,28,0,3.0,clear sky
